iterations,dimacs,runtime,solution,,,,
50,[5_k_3_n_5_m_15.dimacs],0.0002,"[False,","True,","False,","True,",False]
50,[5_k_3_n_5_m_16.dimacs],0.0194,None,,,,
50,[5_k_3_n_5_m_17.dimacs],0.0001,"[False,","False,","True,","False,",True]
50,[5_k_3_n_5_m_18.dimacs],0.0178,None,,,,
50,[5_k_3_n_5_m_19.dimacs],0.0174,None,,,,
50,[5_k_3_n_5_m_20.dimacs],0.0211,None,,,,
50,[5_k_3_n_5_m_21.dimacs],0.0188,None,,,,
50,[5_k_3_n_5_m_22.dimacs],0.0178,None,,,,
50,[5_k_3_n_5_m_23.dimacs],0.0001,"[True,","False,","False,","False,",False]
50,[5_k_3_n_5_m_24.dimacs],0.0199,None,,,,
50,[6_k_3_n_5_m_10.dimacs],0.019,"[False,","True,","True,","True,",True]
50,[6_k_3_n_5_m_11.dimacs],0.0001,"[False,","True,","False,","True,",True]
50,[6_k_3_n_5_m_12.dimacs],0.0175,None,,,,
50,[6_k_3_n_5_m_13.dimacs],0.0001,"[False,","True,","True,","False,",True]
50,[6_k_3_n_5_m_14.dimacs],0.0001,"[False,","False,","False,","True,",False]
50,[6_k_3_n_5_m_15.dimacs],0.0181,None,,,,
50,[6_k_3_n_5_m_16.dimacs],0.0196,None,,,,
50,[6_k_3_n_5_m_17.dimacs],0.0001,"[False,","True,","True,","False,",False]
50,[6_k_3_n_5_m_18.dimacs],0.0177,None,,,,
50,[6_k_3_n_5_m_19.dimacs],0.0243,None,,,,
50,[6_k_3_n_5_m_20.dimacs],0.018,None,,,,
50,[6_k_3_n_5_m_21.dimacs],0.0178,None,,,,
50,[6_k_3_n_5_m_22.dimacs],0.017,None,,,,
50,[6_k_3_n_5_m_23.dimacs],0.0179,None,,,,
50,[6_k_3_n_5_m_24.dimacs],0.0175,None,,,,
50,[7_k_3_n_5_m_10.dimacs],0.0169,None,,,,
50,[7_k_3_n_5_m_11.dimacs],0.0001,"[False,","True,","False,","False,",False]
50,[7_k_3_n_5_m_12.dimacs],0.0187,"[True,","True,","True,","True,",True]
50,[7_k_3_n_5_m_13.dimacs],0.0001,"[True,","True,","True,","False,",False]
50,[7_k_3_n_5_m_14.dimacs],0.0173,None,,,,
50,[7_k_3_n_5_m_15.dimacs],0.0168,"[True,","False,","False,","True,",True]
50,[7_k_3_n_5_m_16.dimacs],0.0176,None,,,,
50,[7_k_3_n_5_m_17.dimacs],0.0001,"[False,","True,","True,","False,",False]
50,[7_k_3_n_5_m_18.dimacs],0.0001,"[False,","False,","False,","False,",False]
50,[7_k_3_n_5_m_19.dimacs],0.0001,"[False,","False,","False,","True,",False]
50,[7_k_3_n_5_m_20.dimacs],0.0189,None,,,,
50,[7_k_3_n_5_m_21.dimacs],0.0187,"[True,","False,","False,","False,",False]
50,[7_k_3_n_5_m_22.dimacs],0.0189,None,,,,
50,[7_k_3_n_5_m_23.dimacs],0.0182,None,,,,
50,[7_k_3_n_5_m_24.dimacs],0.0184,None,,,,
50,[8_k_3_n_5_m_10.dimacs],0.0193,"[False,","False,","True,","False,",False]
50,[8_k_3_n_5_m_11.dimacs],0.0194,None,,,,
50,[8_k_3_n_5_m_12.dimacs],0.0179,None,,,,
50,[8_k_3_n_5_m_13.dimacs],0.0001,"[True,","False,","True,","True,",False]
50,[8_k_3_n_5_m_14.dimacs],0.0001,"[True,","False,","False,","False,",False]
50,[8_k_3_n_5_m_15.dimacs],0.018,None,,,,
50,[8_k_3_n_5_m_16.dimacs],0.0187,None,,,,
50,[8_k_3_n_5_m_17.dimacs],0.018,None,,,,
50,[8_k_3_n_5_m_18.dimacs],0.0177,None,,,,
50,[8_k_3_n_5_m_19.dimacs],0.0001,"[True,","False,","False,","True,",True]
50,[8_k_3_n_5_m_20.dimacs],0.0001,"[True,","True,","False,","False,",False]
50,[8_k_3_n_5_m_21.dimacs],0.0177,None,,,,
50,[8_k_3_n_5_m_22.dimacs],0.0172,None,,,,
50,[8_k_3_n_5_m_23.dimacs],0.0215,None,,,,
50,[8_k_3_n_5_m_24.dimacs],0.0185,None,,,,
50,[9_k_3_n_5_m_10.dimacs],0.0183,"[True,","True,","True,","False,",False]
50,[9_k_3_n_5_m_11.dimacs],0.0001,"[True,","True,","True,","False,",True]
50,[9_k_3_n_5_m_12.dimacs],0.0185,"[False,","True,","False,","False,",False]
50,[9_k_3_n_5_m_13.dimacs],0.0179,None,,,,
50,[9_k_3_n_5_m_14.dimacs],0.0184,None,,,,
50,[9_k_3_n_5_m_15.dimacs],0.0176,None,,,,
50,[9_k_3_n_5_m_16.dimacs],0.0189,None,,,,
50,[9_k_3_n_5_m_17.dimacs],0.0189,None,,,,
50,[9_k_3_n_5_m_18.dimacs],0.018,None,,,,
50,[9_k_3_n_5_m_19.dimacs],0.0182,None,,,,
50,[9_k_3_n_5_m_20.dimacs],0.0172,None,,,,
50,[9_k_3_n_5_m_21.dimacs],0.0178,None,,,,
50,[9_k_3_n_5_m_22.dimacs],0.0181,None,,,,
50,[9_k_3_n_5_m_23.dimacs],0.0182,None,,,,
50,[9_k_3_n_5_m_24.dimacs],0.0178,None,,,,
100,[0_k_3_n_5_m_10.dimacs],0.0002,"[False,","True,","False,","False,",False]
100,[0_k_3_n_5_m_11.dimacs],0.0199,None,,,,
100,[0_k_3_n_5_m_12.dimacs],0.0001,"[True,","True,","False,","True,",True]
100,[0_k_3_n_5_m_13.dimacs],0.0001,"[True,","True,","False,","True,",True]
100,[0_k_3_n_5_m_14.dimacs],0.0001,"[True,","True,","True,","True,",False]
100,[0_k_3_n_5_m_15.dimacs],0.0001,"[True,","True,","False,","True,",False]
100,[0_k_3_n_5_m_16.dimacs],0.0001,"[False,","True,","True,","False,",True]
100,[0_k_3_n_5_m_17.dimacs],0.0183,None,,,,
